twenty four-pointed star subClassOf regular star polygon, twenty four-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
four-pointed star subClassOf regular star polygon, four-pointed star subClassOf regular polygon, regular star polygon disjointWith regular polygon
square star subClassOf regular star polygon, square star subClassOf regular polygon, regular star polygon disjointWith regular polygon
henicosagram subClassOf regular star polygon, henicosagram subClassOf regular polygon, regular star polygon disjointWith regular polygon
twenty one-pointed star subClassOf regular star polygon, twenty one-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
nine-pointed star subClassOf regular star polygon, nine-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
red star subClassOf five-pointed star, red star subClassOf regular polygon, five-pointed star disjointWith regular polygon
unicursal hexagram subClassOf hexagram, unicursal hexagram subClassOf irregular polygon, hexagram disjointWith irregular polygon
{7/2} heptagram subClassOf heptagram, {7/2} heptagram subClassOf regular polygon, heptagram disjointWith regular polygon
{7/3} heptagram subClassOf heptagram, {7/3} heptagram subClassOf irregular polygon, heptagram disjointWith irregular polygon
{9/2} enneagram subClassOf enneagram, {9/2} enneagram subClassOf irregular polygon, enneagram disjointWith irregular polygon
{9/4} enneagram subClassOf enneagram, {9/4} enneagram subClassOf irregular polygon, enneagram disjointWith irregular polygon
{11/3} hendecagram subClassOf hendecagram, {11/3} hendecagram subClassOf regular polygon, hendecagram disjointWith regular polygon
{11/2} hendecagram subClassOf hendecagram, {11/2} hendecagram subClassOf irregular polygon, hendecagram disjointWith irregular polygon
{11/5} hendecagram subClassOf hendecagram, {11/5} hendecagram subClassOf regular polygon, hendecagram disjointWith regular polygon
{11/4} hendecagram subClassOf hendecagram, {11/4} hendecagram subClassOf irregular polygon, hendecagram disjointWith irregular polygon
{14/3} tetradecagram subClassOf tetradecagram, {14/3} tetradecagram subClassOf regular polygon, tetradecagram disjointWith regular polygon
{14/5} tetradecagram subClassOf tetradecagram, {14/5} tetradecagram subClassOf regular polygon, tetradecagram disjointWith regular polygon
Black Star of Africa subClassOf five-pointed star, Black Star of Africa subClassOf regular polygon, five-pointed star disjointWith regular polygon
Druze star subClassOf five-pointed star, Druze star subClassOf irregular polygon, five-pointed star disjointWith irregular polygon
adopted child of biological father subClassOf relative, adopted child of biological father subClassOf biological sibling, relative disjointWith biological sibling
adopted child of biological mother and father subClassOf adopted child of biological mother, adopted child of biological mother and father subClassOf adopted child of biological parent, adopted child of biological mother disjointWith adopted child of biological parent
Moon in fiction subClassOf fictional planet, Moon in fiction subClassOf real location in a fiction work, fictional planet disjointWith real location in a fiction work
royal consort of Castile and León subClassOf queen consort, royal consort of Castile and León subClassOf wife, queen consort disjointWith wife
royal consort of Pamplona subClassOf queen consort, royal consort of Pamplona subClassOf husband, queen consort disjointWith husband
royal consort of Castile subClassOf queen consort, royal consort of Castile subClassOf husband, queen consort disjointWith husband
King of Castile and León (Iure uxoris) subClassOf consort, King of Castile and León (Iure uxoris) subClassOf husband, consort disjointWith husband
King of Navarre (Iure uxoris) subClassOf sovereign of Navarre, King of Navarre (Iure uxoris) subClassOf wife, sovereign of Navarre disjointWith wife
King of Castile (Iure uxoris) subClassOf consort, King of Castile (Iure uxoris) subClassOf wife, consort disjointWith wife
chromosomal son subClassOf genetic son, chromosomal son subClassOf chromosomal child, genetic son disjointWith chromosomal child
milk brother subClassOf relative, milk brother subClassOf biological brother, relative disjointWith biological brother
JPEG File Interchange Format (JFIF), version 1.0 subClassOf JPEG File Interchange Format, JPEG File Interchange Format (JFIF), version 1.0 subClassOf JPEG, JPEG File Interchange Format disjointWith JPEG
individual ethnic group subClassOf ethnic group, individual ethnic group subClassOf individual entity, ethnic group disjointWith individual entity
L-threonine zwitterion subClassOf 2-amino-3-hydroxybutanoic acid, L-threonine zwitterion subClassOf anion, 2-amino-3-hydroxybutanoic acid disjointWith anion
allo-D-threonine subClassOf 2-amino-3-hydroxybutanoic acid, allo-D-threonine subClassOf anion, 2-amino-3-hydroxybutanoic acid disjointWith anion
L-threonine subClassOf amino acid, L-threonine subClassOf cation, amino acid disjointWith cation
allo-L-threonine subClassOf 2-amino-3-hydroxybutanoic acid, allo-L-threonine subClassOf anion, 2-amino-3-hydroxybutanoic acid disjointWith anion
2-amino-3-hydroxybutanoic acid subClassOf essential amino acid, 2-amino-3-hydroxybutanoic acid subClassOf cation, essential amino acid disjointWith cation
L-(1-¹³C)Threonine subClassOf 2-amino-3-hydroxybutanoic acid, L-(1-¹³C)Threonine subClassOf cation, 2-amino-3-hydroxybutanoic acid disjointWith cation
D-threonine subClassOf D-amino acid, D-threonine subClassOf cation, D-amino acid disjointWith cation
Tellurium chloride pentafluoride subClassOf chloride, Tellurium chloride pentafluoride subClassOf chloride, chloride disjointWith chloride
biological child of adoptive mother and father subClassOf biological child of adoptive father, biological child of adoptive mother and father subClassOf biological child of adoptive father, biological child of adoptive father disjointWith biological child of adoptive father
non-binary bisexual subClassOf bisexual, non-binary bisexual subClassOf LGBTQ person, bisexual disjointWith LGBTQ person
FtX subClassOf transgender person, FtX subClassOf LGBTQ people, transgender person disjointWith LGBTQ people
MtX subClassOf transgender person, MtX subClassOf LGBTQ person, transgender person disjointWith LGBTQ person
non-binary woman subClassOf non-binary people, non-binary woman subClassOf LGBTQ person, non-binary people disjointWith LGBTQ person
non-binary man subClassOf non-binary people, non-binary man subClassOf LGBTQ people, non-binary people disjointWith LGBTQ people
demiboy subClassOf demigender, demiboy subClassOf LGBTQ person, demigender disjointWith LGBTQ person
demigirl subClassOf demigender, demigirl subClassOf LGBTQ person, demigender disjointWith LGBTQ person
girlflux subClassOf demigirl, girlflux subClassOf LGBTQ people, demigirl disjointWith LGBTQ people
boyflux subClassOf demiboy, boyflux subClassOf LGBTQ person, demiboy disjointWith LGBTQ person
dizygotic conjoined twins subClassOf conjoined twins, dizygotic conjoined twins subClassOf identical twins, conjoined twins disjointWith identical twins
wet nurse subClassOf domestic worker, wet nurse subClassOf non-biological mother, domestic worker disjointWith non-biological mother
Lady Fengsheng subClassOf noble title, Lady Fengsheng subClassOf biological mother, noble title disjointWith biological mother
